"flight_date","avg_price"
"2025-02-20","53422.816246056782"
"2025-02-21","35994.731622193520"
"2025-02-22","38293.038544419597"
"2025-02-23","37625.022048211270"
"2025-02-24","35607.346711480163"
"2025-02-25","39572.891415383451"
"2025-02-26","41757.772171315545"
"2025-02-27","40809.828807033087"
"2025-02-28","33277.984846555457"
"2025-03-06","47274.184393428812"
"2025-03-07","25295.802797558494"
"2025-03-10","48769.350519220259"
"2025-03-11","36706.394577793127"
"2025-03-12","35851.596132032668"
"2025-03-13","28687.080509000621"
"2025-03-14","27352.312633765908"
"2025-03-15","30294.582259478209"
"2025-03-16","31459.415892759592"
"2025-03-17","26179.412840291356"
"2025-03-18","26071.425242493892"
"2025-03-19","28492.909325531581"
"2025-03-20","31652.736422943319"
"2025-03-21","37992.973204323889"
"2025-03-22","38760.863101363519"
"2025-03-23","41525.683071831331"
"2025-03-24","39679.186182251340"
"2025-03-25","44082.556808510638"
"2025-03-26","44200.957407778000"
"2025-03-27","36044.886810763123"
"2025-03-28","37018.630998262946"
"2025-03-29","42956.821753375134"
"2025-03-30","37973.503614361596"
"2025-03-31","34636.237662735488"
"2025-04-01","33788.140002520297"
"2025-04-02","36319.530748896119"
"2025-04-03","37120.063525460762"
"2025-04-04","32715.885838717738"
"2025-04-05","32920.154899924365"
"2025-04-06","31643.538522800535"
"2025-04-07","29641.181176410405"
"2025-04-08","29748.091582701430"
"2025-04-09","28535.961680053548"
"2025-04-10","30127.071530400420"
"2025-04-11","32343.077462124198"
"2025-04-12","32833.877821507119"
"2025-04-13","34139.582806623742"
"2025-04-14","33300.688582139684"
"2025-04-15","29173.772388159837"
"2025-04-16","30892.785677526622"
"2025-04-17","29339.114581280788"
"2025-04-18","30654.203905997341"
"2025-04-19","32054.643324175824"
"2025-04-20","30617.282837453060"
"2025-04-21","30523.339657719894"
"2025-04-22","28282.303069492206"
"2025-04-23","29228.846236127825"
"2025-04-24","31298.313001674499"
"2025-04-25","32575.781076352279"
"2025-04-26","32939.919663802657"
"2025-04-27","31837.531143707972"
"2025-04-28","30807.366522605283"
"2025-04-29","31942.424662010375"
"2025-04-30","36629.228068818867"
"2025-05-01","34059.096027737585"
"2025-05-02","31906.593771737730"
"2025-05-03","32664.771050906374"
"2025-05-04","33514.176905802006"
"2025-05-05","30236.379671448613"
"2025-05-06","29679.104906126864"
"2025-05-07","32226.748467099844"
"2025-05-08","30082.574629580967"
"2025-05-09","31554.734433209154"
"2025-05-10","36698.308884380042"
"2025-05-11","35305.268087811301"
"2025-05-12","30758.593453372749"
"2025-05-13","27087.262336825141"
"2025-05-14","28027.720228450259"
"2025-05-15","28110.140897460197"
"2025-05-16","27358.795218590443"
"2025-05-17","27502.922173274596"
"2025-05-18","27937.426222824648"
"2025-05-19","26398.299318885449"
"2025-05-20","25722.235413131445"
"2025-05-21","26299.222154276230"
"2025-05-22","27195.796451738843"
"2025-05-23","27677.815875139353"
"2025-05-24","28197.944592046264"
"2025-05-25","28162.635488471595"
"2025-05-26","27453.673987902289"
"2025-05-27","26861.581082461937"
"2025-05-28","27429.464041373496"
"2025-05-29","28011.710542918430"
"2025-05-30","29961.581628167652"
"2025-05-31","30379.302224132716"
"2025-06-01","30326.637250770698"
"2025-06-02","27743.947258462427"
"2025-06-03","26993.860943168077"
"2025-06-04","27524.530509730425"
"2025-06-05","27270.311459840150"
"2025-06-06","28898.342906927125"
"2025-06-07","29101.546903480141"
"2025-06-08","28889.692570669138"
"2025-06-09","28251.035692317654"
"2025-06-10","27283.411707447418"
"2025-06-11","29972.048160449668"
"2025-06-12","29863.930777933054"
"2025-06-13","29807.126319356205"
"2025-06-14","31096.719962020165"
"2025-06-15","31652.802737128066"
"2025-06-16","29079.690344447394"
"2025-06-17","28222.171207729469"
"2025-06-18","27717.986326624674"
"2025-06-19","27279.258792187797"
"2025-06-20","29643.849883966610"
"2025-06-21","30385.981326781327"
"2025-06-22","28658.541763216037"
"2025-06-23","29226.999633686855"
"2025-06-24","26048.718011697702"
"2025-06-25","28780.763498594942"
"2025-06-26","28644.822487881669"
"2025-06-27","28824.715016918294"
"2025-06-28","30418.166303925379"
"2025-06-29","30012.697579042079"
"2025-06-30","29900.206515505757"
"2025-07-01","29077.003371336390"
"2025-07-02","30758.073158593232"
"2025-07-03","34279.959200551344"
"2025-07-04","30556.147413931881"
"2025-07-05","31466.759483695652"
"2025-07-06","30772.493235351372"
"2025-07-07","32129.782840916774"
