"day","records_count"
"2025-02-28","22"
"2025-03-01","154"
"2025-03-02","154"
"2025-03-03","154"
"2025-03-04","154"
"2025-03-05","154"
"2025-03-06","66"
"2025-03-14","230"
"2025-03-15","1760"
"2025-03-16","1540"
"2025-03-17","440"
"2025-03-19","660"
"2025-03-20","1530"
"2025-03-21","1535"
"2025-03-22","1529"
"2025-03-23","1760"
"2025-03-24","1540"
"2025-03-25","749"
"2025-03-27","220"
"2025-03-28","1540"
"2025-03-29","1325"
"2025-03-30","1523"
"2025-03-31","1532"
"2025-04-01","1538"
"2025-04-02","1345"
"2025-04-03","1493"
"2025-04-04","1320"
"2025-04-05","220"
"2025-04-06","1092"
