"category","day","avg_price"
"dress","2025-04-05","249645.454545454545"
"dress","2025-04-11","234555.216693418941"
"dress","2025-04-13","229381.944444444444"
"dress","2025-04-14","228979.166666666667"
"jeans","2025-04-05","369208.913043478261"
"jeans","2025-04-11","348816.086956521739"
"jeans","2025-04-13","343048.166666666667"
"jeans","2025-04-14","345585.000000000000"
"oxygen_bleach","2025-04-05","41872.086956521739"
"oxygen_bleach","2025-04-11","41796.652173913043"
"oxygen_bleach","2025-04-13","41562.500000000000"
"oxygen_bleach","2025-04-14","42121.000000000000"
"shirt","2025-04-05","244719.640179910045"
"shirt","2025-04-11","245158.352229780801"
"shirt","2025-04-13","245637.048192771084"
"shirt","2025-04-14","239600.000000000000"
"tshirt","2025-04-05","102234.478260869565"
"tshirt","2025-04-11","103627.130434782609"
"tshirt","2025-04-13","103334.833333333333"
"tshirt","2025-04-14","107680.000000000000"
